split,video_id,frame_path,label,attack_type,frame_idx
train,client025_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f0.jpg,0,real,0
train,client025_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f1.jpg,0,real,1
train,client025_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f2.jpg,0,real,2
train,client025_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f3.jpg,0,real,3
train,client025_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f4.jpg,0,real,4
train,client025_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f5.jpg,0,real,5
train,client025_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f6.jpg,0,real,6
train,client025_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f7.jpg,0,real,7
train,client025_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f8.jpg,0,real,8
train,client025_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f9.jpg,0,real,9
train,client006_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f0.jpg,0,real,0
train,client006_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f1.jpg,0,real,1
train,client006_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f2.jpg,0,real,2
train,client006_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f3.jpg,0,real,3
train,client006_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f4.jpg,0,real,4
train,client006_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f5.jpg,0,real,5
train,client006_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f6.jpg,0,real,6
train,client006_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f7.jpg,0,real,7
train,client006_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f8.jpg,0,real,8
train,client006_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f9.jpg,0,real,9
train,client016_session01_webcam_authenticate_adverse_1,/home/saslab01/Desktop/replay_pad/data/frames_10frame/train/real/client016_session01_webcam_authenticate_adverse_1/client016_session01_webcam_authenticate_adverse_1_f0.jpg,0,real,0
