split,video_id,video_path,label,attack_type
train,client025_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client025_session01_webcam_authenticate_controlled_2.mov,0,real
train,client006_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client006_session01_webcam_authenticate_controlled_1.mov,0,real
train,client016_session01_webcam_authenticate_adverse_1,/home/saslab01/Desktop/replay_pad/data/train/real/client016_session01_webcam_authenticate_adverse_1.mov,0,real
train,client001_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client001_session01_webcam_authenticate_controlled_2.mov,0,real
train,client007_session01_webcam_authenticate_adverse_1,/home/saslab01/Desktop/replay_pad/data/train/real/client007_session01_webcam_authenticate_adverse_1.mov,0,real
train,client007_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client007_session01_webcam_authenticate_controlled_2.mov,0,real
train,client016_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client016_session01_webcam_authenticate_controlled_2.mov,0,real
train,client018_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client018_session01_webcam_authenticate_controlled_2.mov,0,real
train,client007_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client007_session01_webcam_authenticate_adverse_2.mov,0,real
train,client006_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client006_session01_webcam_authenticate_controlled_2.mov,0,real
train,client105_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client105_session01_webcam_authenticate_adverse_2.mov,0,real
train,client016_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client016_session01_webcam_authenticate_controlled_1.mov,0,real
train,client012_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client012_session01_webcam_authenticate_controlled_1.mov,0,real
train,client016_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client016_session01_webcam_authenticate_adverse_2.mov,0,real
train,client110_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client110_session01_webcam_authenticate_adverse_2.mov,0,real
train,client025_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client025_session01_webcam_authenticate_controlled_1.mov,0,real
train,client008_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client008_session01_webcam_authenticate_controlled_1.mov,0,real
train,client004_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client004_session01_webcam_authenticate_controlled_1.mov,0,real
train,client004_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client004_session01_webcam_authenticate_controlled_2.mov,0,real
train,client004_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client004_session01_webcam_authenticate_adverse_2.mov,0,real
train,client012_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client012_session01_webcam_authenticate_adverse_2.mov,0,real
train,client108_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client108_session01_webcam_authenticate_adverse_2.mov,0,real
train,client025_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client025_session01_webcam_authenticate_adverse_2.mov,0,real
train,client001_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client001_session01_webcam_authenticate_adverse_2.mov,0,real
train,client007_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client007_session01_webcam_authenticate_controlled_1.mov,0,real
train,client001_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client001_session01_webcam_authenticate_controlled_1.mov,0,real
train,client108_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client108_session01_webcam_authenticate_controlled_1.mov,0,real
train,client012_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client012_session01_webcam_authenticate_controlled_2.mov,0,real
train,client105_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client105_session01_webcam_authenticate_controlled_2.mov,0,real
train,client018_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client018_session01_webcam_authenticate_controlled_1.mov,0,real
train,client105_session01_webcam_authenticate_adverse_1,/home/saslab01/Desktop/replay_pad/data/train/real/client105_session01_webcam_authenticate_adverse_1.mov,0,real
train,client103_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client103_session01_webcam_authenticate_controlled_1.mov,0,real
train,client006_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client006_session01_webcam_authenticate_adverse_2.mov,0,real
train,client105_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client105_session01_webcam_authenticate_controlled_1.mov,0,real
train,client108_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client108_session01_webcam_authenticate_controlled_2.mov,0,real
train,client103_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client103_session01_webcam_authenticate_controlled_2.mov,0,real
train,client002_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client002_session01_webcam_authenticate_adverse_2.mov,0,real
train,client002_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client002_session01_webcam_authenticate_controlled_1.mov,0,real
train,client027_session01_webcam_authenticate_adverse_1,/home/saslab01/Desktop/replay_pad/data/train/real/client027_session01_webcam_authenticate_adverse_1.mov,0,real
train,client008_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client008_session01_webcam_authenticate_controlled_2.mov,0,real
train,client008_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client008_session01_webcam_authenticate_adverse_2.mov,0,real
train,client018_session01_webcam_authenticate_adverse_1,/home/saslab01/Desktop/replay_pad/data/train/real/client018_session01_webcam_authenticate_adverse_1.mov,0,real
train,client027_session01_webcam_authenticate_controlled_1,/home/saslab01/Desktop/replay_pad/data/train/real/client027_session01_webcam_authenticate_controlled_1.mov,0,real
train,client018_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client018_session01_webcam_authenticate_adverse_2.mov,0,real
train,client002_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client002_session01_webcam_authenticate_controlled_2.mov,0,real
train,client001_session01_webcam_authenticate_adverse_1,/home/saslab01/Desktop/replay_pad/data/train/real/client001_session01_webcam_authenticate_adverse_1.mov,0,real
train,client027_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client027_session01_webcam_authenticate_controlled_2.mov,0,real
train,client004_session01_webcam_authenticate_adverse_1,/home/saslab01/Desktop/replay_pad/data/train/real/client004_session01_webcam_authenticate_adverse_1.mov,0,real
train,client027_session01_webcam_authenticate_adverse_2,/home/saslab01/Desktop/replay_pad/data/train/real/client027_session01_webcam_authenticate_adverse_2.mov,0,real
train,client110_session01_webcam_authenticate_controlled_2,/home/saslab01/Desktop/replay_pad/data/train/real/client110_session01_webcam_authenticate_controlled_2.mov,0,real
train,client012_session01_webcam_authenticate_adverse_1,/home/saslab01/Desktop/replay_pad/data/train/real/client012_session01_webcam_authenticate_adverse_1.mov,0,real
train,client006_session01_webcam_authenticate_adverse_1,/home/saslab01/Desktop/replay_pad/data/train/real/client006_session01_webcam_authenticate_adverse_1.mov,0,real
train,client002_session01_webcam_authenticate_adverse_1,/home/saslab01/Desktop/replay_pad/data/train/real/client002_session01_webcam_authenticate_adverse_1.mov,0,real
train,client008_session01_webcam_authenticate_adverse_1,/home/saslab01/Desktop/replay_pad/data/train/real/client008_session01_webcam_authenticate_adverse_1.mov,0,real
